Category	Competency	Level	Skill	Resource Title	Resource Description	Resource URL
Organizational Knowledge	Knows CCETC staff benefits	1	Able to locate & use information re: staff benefits (including ongoing staff resources such as EAP, Wellness Program, etc.)	HR Benefits Session 	Benefits Session with HR rep (arranged with all eligible staff)	Contact Krystal Dunn or Theresa Emerick
Organizational Knowledge	Knows CCETC staff benefits	1	Able to locate & use information re: staff benefits (including ongoing staff resources such as EAP, Wellness Program, etc.)	Cornell Online Benefits Info	MyCCE Orientation and Dashboard; Cornell Online Benefits information:	http://staff.cce.cornell.edu/human_resources/Pages/BenefitsIndex.aspx
Organizational Knowledge	Knows how to use shared office equipment	1	Knows how to use office equipment and resources (phone; copier/scanner; fax; printers; online room equipment & van reservation systems; bicycle sign-outs). 	Orientation Check List	Complete orientation checklist	
Organizational Knowledge	Familiar with physical environment of CCETC workplace		Familar with layout of CCETC Education Center	CCETC Orientation presentation		Contact Krystal Dunn for dates of next session
Organizational Knowledge	Knows basic HR, building and safety policies.		Knows CCETC's basic HR, building and association-wide safety policies, and where to find information about them. 	CCETC Orientation presentation		Contact Krystal Dunn for dates of next session
Organizational Knowledge	Knows basic HR, building and safety policies.		Knows CCETC's basic HR, building and association-wide safety policies, and where to find information about them. 	Online resources re: basic CCETC's HR, building and safety policies		
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	CCETC Orientation presentation		Contact Krystal Dunn for dates of next session
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	New Staff Orientation on Campus	On-campus CCE orientation provides new employees with CCE history, mission and structure. There are two levels, based on classification of the employee. Registration required.  	http://staff.cce.cornell.edu/Pages/home.aspx
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	New Staff Orientation pre-recorded session	CCE Administration offers two pre-recorded webinars (with Powerpoint presentations) for new employees	http://staff.cce.cornell.edu/orgdev/Pages/Course-Description2.aspx?courseid=75
Organizational Knowledge	Knows CCE mission, history and organizational structure	1	Understands the mission, history and organizational structure of the CCE system generally, and CCETC in particular.	MyCCE Orientation Materials	Web-based information about CCE-Tompkins history	https://mycce.me/content/about-ccetc-history-and-ethos
