10000|Petty Cash|Balance of cash and receipts in association petty cash account.
10100|Cash, Bank Checking|Cash balance in association checking account. A separate account number is needed for each bank account.
10200|Cash, Bank Savings|Cash balance in association interest-bearing savings accounts. A separate account number is needed for each bank account.
10300|Cash Equivalents|Balance of short term, highly liquid investments that is both readily convertible to a known amount of cash and so near their maturity that they present no significant change in value.
11000|Accounts Receivable|Value of outstanding billings. Account balance must be supported by an aged subsidiary listing. (F.O.R.M. Code 812).
11100|Accounts Receivable, Inter-Association|Amounts due from other association(s).
11200|Pledges Receivable|A legal enforceable commitment from a donor to make a gift to the association in the future (F.O.R.M. Code 817).
11300|Other Receivable|Any non-program related receivable.
11500|Allowance for Accounts Receivable|Allowance for uncollectible billings.
11700|Allowance for Pledges Receivable|Allowance for uncollectible pledges.
11800|Allowance for Other Receivables|Allowance for all other uncollectible debt such as salary or travel advances or start-up funds for a particular activity.
12000|Inventory, Livestock|Cost/value of livestock for resale owned by the association.
12100|Inventory, Supplies|Cost of expendable (office) supplies on hand. (F.O.R.M. Code 816).
12200|Inventory, Merchandise for Resale|Cost of items purchased for resale (bulletins, soil boxes, farm account books, etc.). (F.O.R.M. Code 816).
13100|Marketable Securities|Securities or other negotiable instruments that currently available for sale. Securities are held to produce income. To be recorded at total cost (including fees) when purchased or, if donated, at fair market value. Investments should be adjusted to the lower of cost or fair market value a00ually. Also includes Bonds and Notes (treasury notes, municipal bonds, interest-bearing certificates of Corporations etc, stocks, which earn dividends, appreciate or depreciate in value and real estate, mortgages, pension fund, life insurance etc. that can be bought or sold above or below stated value.
13200|Certificates of Deposit, 12 Months or Less|Value of certificate(s) of deposit held for terms of more than three (3) months and twelve (12) months or less.
13300|Prepaid Expenses|Expenses not recognized in current fiscal year operations but carried forward to next year to match against revenues. (F.O.R.M. Code 802.3)
13500|Deferred Charges|Costs related to grants and contracts that relate to future accounting periods rather than the current accounting period.
